北京	国网北京市电力公司
石家庄	国网河北省电力有限公司
唐山	国网冀北电力有限公司
秦皇岛	国网冀北电力有限公司
邢台	国网河北省电力有限公司
张家口	国网冀北电力有限公司
承德	国网冀北电力有限公司
沧州	国网河北省电力有限公司
廊坊	国网冀北电力有限公司
衡水	国网河北省电力有限公司
太原	国网山西省电力公司
大同	国网山西省电力公司
阳泉	国网山西省电力公司
长治	国网山西省电力公司
晋城	国网山西省电力公司
朔州	国网山西省电力公司
晋中	国网山西省电力公司
运城	国网山西省电力公司
忻州	国网山西省电力公司
临汾	国网山西省电力公司
吕梁	国网山西省电力公司
呼和浩特	内蒙古电力（集团）有限责任公司
包头	内蒙古电力（集团）有限责任公司
乌海	内蒙古电力（集团）有限责任公司
赤峰	国网内蒙古东部电力有限公司
通辽	国网内蒙古东部电力有限公司
鄂尔多斯	内蒙古电力（集团）有限责任公司
呼伦贝尔	国网内蒙古东部电力有限公司
巴彦淖尔	内蒙古电力（集团）有限责任公司
乌兰察布	内蒙古电力（集团）有限责任公司
沈阳	国网辽宁省电力有限公司
鞍山	国网辽宁省电力有限公司
抚顺	国网辽宁省电力有限公司
本溪	国网辽宁省电力有限公司
丹东	国网辽宁省电力有限公司
锦州	国网辽宁省电力有限公司
营口	国网辽宁省电力有限公司
阜新	国网辽宁省电力有限公司
辽阳	国网辽宁省电力有限公司
盘锦	国网辽宁省电力有限公司
铁岭	国网辽宁省电力有限公司
朝阳	国网辽宁省电力有限公司
葫芦岛	国网辽宁省电力有限公司
长春	国网吉林省电力有限公司
吉林	国网吉林省电力有限公司
四平	国网吉林省电力有限公司
辽源	国网吉林省电力有限公司
通化	国网吉林省电力有限公司
白山	国网吉林省电力有限公司
松原	国网吉林省电力有限公司
白城	国网吉林省电力有限公司
哈尔滨	国网黑龙江电力有限公司
齐齐哈尔	国网黑龙江电力有限公司
鸡西	国网黑龙江电力有限公司
鹤岗	国网黑龙江电力有限公司
双鸭山	国网黑龙江电力有限公司
大庆	国网黑龙江电力有限公司
伊春	国网黑龙江电力有限公司
佳木斯	国网黑龙江电力有限公司
七台河	国网黑龙江电力有限公司
牡丹江	国网黑龙江电力有限公司
黑河	国网黑龙江电力有限公司
绥化	国网黑龙江电力有限公司
南京	国网江苏省电力有限公司
无锡	国网江苏省电力有限公司
徐州	国网江苏省电力有限公司
常州	国网江苏省电力有限公司
苏州	国网江苏省电力有限公司
南通	国网江苏省电力有限公司
连云港	国网江苏省电力有限公司
淮安	国网江苏省电力有限公司
盐城	国网江苏省电力有限公司
扬州	国网江苏省电力有限公司
镇江	国网江苏省电力有限公司
泰州	国网江苏省电力有限公司
宿迁	国网江苏省电力有限公司
杭州	国网浙江省电力公司
宁波	国网浙江省电力公司
嘉兴	国网浙江省电力公司
